district,title,updated flag,name,house,party_aff,official_phone,official_email,reviewed,needs_update,notes
1,Director,,Marva Herndon,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2019
2,Director,,Erika Siemsen,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2019
3,Director,,Darryl L. Jackson,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2023
4,Director,x,Vacant ,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,
5,Director,,Jilly Gokalgandhi,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2021
6,Director,,Marcela (Xela) Garcia,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2021
7,Director,x,Henry Leonard,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2021
8,Director,,Megan O'Halloran,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2019
At-Large,Director,,Missy Zombor,MPS School Board,NA,(414) 475-8284,governance@milwaukee.k12.wi.us,x,,In office since April 2023
1,Alderwoman,,Andrea Pratt,Common Council,NA,414-286-2228,aide1@milwaukee.gov,x,,"In office since April 18th, 2023, Ballotpedia "
2,Alderman,,Mark Chambers Jr.,Common Council,NA,414-286-3787,Aide2@milwaukee.gov,x,,"In office since November 16, 2022 - Ballotpedia "
3,Alderman,,Jonathan Brostoff,Common Council,NA,414-286-2221,Jonathan.Brostoff@milwaukee.gov,x,,"In office since November 16th, 2022 - Ballotpedia "
4,Alderman,,Robert Bauman,Common Council,NA,414-286-3774,rjbauma@milwaukee.gov,x,,In office since 2004 - Ballotpedia 
5,Alderman,,Lamont T. Westmoreland,Common Council,NA,414-286-2221,lamont.westmoreland@milwaukee.gov,x,,"In office since April 18th, 2023, Ballotpedia "
6,Alderwoman,,Milele A. Coggs,Common Council,NA,414-286-2221,mcoggs@milwaukee.gov,x,,In office since 2008 - Ballotpedia 
7,Alderman,x,DiAndre Jackson ,Common Council,NA,414-286-2221,DiAndre.Jackson@milwaukee.gov,x,,"In office since April 16th, 2024 - Ballotpedia "
8,Alderwoman,,JoCasta Zamarripa,Common Council,NA,414-286-3533,JoCasta.Zamarripa@milwaukee.gov,x,,"In office since April 21, 2020 - Ballotpedia "
9,Alderwoman,,Larresa Taylor,Common Council,NA,414-286-2221,Larresa.Taylor@milwaukee.gov,x,,"In office since April 18th, 2023, Ballotpedia "
10,Alderman,x,Sharlene P. Moore ,Common Council,NA,414-286-3763,Sharlen.Moore@milwaukee.gov,x,,"Email seems off, I think the city council website might have left off an e in Sharlene.Moore ; In office since April 16th, 2024 - Ballotpedia "
11,Alderman,x,Peter Burgelis ,Common Council,NA,414-286-3768,Peter.Burgelis@milwaukee.gov,x,,"In office since April 16th, 2024 - Ballotpedia "
12,Alderman,,Jose G. Perez ,Common Council,NA,414-286-2861,JPerez@milwaukee.gov,x,,President; in office since 2012 - Ballotpedia 
13,Alderman,,Scott Spiker,Common Council,NA,414-286-8537,scott.spiker@milwaukee.gov,x,,In office since 2019 - Ballotpedia 
14,Alderwoman,,Marina Dimitrijevic,Common Council,NA,414-286-3769,Marina@milwaukee.gov,x,,"email doesn't fit the pattern; In office since April 21, 2020 - Ballotpedia "
15,Alderman,,Russell W. Stamper,Common Council,NA,414-286-2221,russell.stamper@milwaukee.gov,x,,In office since 2014 - Ballotpedia 
1,Senator,,Andre Jacque,Senate,R,(608) 266-3512,Sen.Jacque@legis.wisconsin.gov,x,,In office since 2019 - Ballotpedia 
2,Senator,,Robert Cowles,Senate,R,(608) 266-0484,Sen.Cowles@legis.wisconsin.gov,x,,In office since 1987 - Ballotpedia 
3,Senator,,Tim Carpenter,Senate,D,(608) 266-8535,Sen.Carpenter@legis.wisconsin.gov,x,,In office since 2003 - Ballotpedia 
4,Senator,x,Vacant ,Senate,,,,x,,
5,Senator,,Rob Hutton,Senate,R,(608) 266-2512,Sen.Hutton@legis.wisconsin.gov,x,,"In office since January 3, 2023 - Ballotpedia "
6,Senator,,La Tonya Johnson,Senate,D,(608) 266-2500,Sen.Johnson@legis.wisconsin.gov,x,,In office since 2017 - Ballotpedia 
7,Senator,,Chris Larson,Senate,D,(608) 266-7505,Sen.Larson@legis.wisconsin.gov,x,,"Minority Caucus Chair; In office since January 3, 2011 - Ballotpedia "
8,Senator,x,Daniel Knodl ,Senate,R,(608) 266-5830,Sen.Knodl@legis.wisconsin.gov,x,,"In office since May 3, 2023"
9,Senator,,Devin LeMahieu,Senate,R,(608) 266-2056,Sen.LeMahieu@legis.wisconsin.gov,x,,"Majority Leader; In office since January 5th, 2015 - Ballotpedia "
10,Senator,,Rob Stafsholt,Senate,R,(608) 266-7745,Sen.Stafsholt@legis.wisconsin.gov,x,,"In office since January 4, 2021"
11,Senator,,Stephen Nass,Senate,R,(608) 266-2635,Sen.Nass@legis.wisconsin.gov,x,,"In office since January 5, 2015 - Ballotpedia "
12,Senator,,Mary Felzkowski,Senate,R,(608) 266-2509,Sen.Felzkowski@legis.wisconsin.gov,x,,"In office since January 4, 2021"
13,Senator,,John Jagler,Senate,R,(608) 266-5660,Sen.Jagler@legis.wisconsin.gov,x,,"In office since April 23, 2021 - Ballotpedia "
