dpi_true_id,school_name,X,Y,geometry
3619_0316,Academy of Accelerated Learning,-88.01038893399999,42.976736207000044,"c(-88.010388934, 42.976736207)"
3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,-87.95400062699997,43.01218466800003,"c(-87.954000627, 43.012184668)"
3619_0075,Alcott Elementary,-88.03380048599996,42.98009454900006,"c(-88.033800486, 42.9800945490001)"
3619_0073,Allen-Field Elementary,-87.92029028199994,43.014143079000064,"c(-87.9202902819999, 43.0141430790001)"
3619_0413,Alliance School of Milwaukee,-87.92190602599999,43.052578124000036,"c(-87.921906026, 43.052578124)"
3619_0215,Andrew S Douglas Middle,-87.93339390899996,43.08283214100004,"c(-87.933393909, 43.082832141)"
3619_0434,Audubon Technology and Communication High,-87.96304868499999,42.98467768800003,"c(-87.963048685, 42.984677688)"
3619_0041,Audubon Technology and Communication Middle,-87.96304868499999,42.98467768800003,"c(-87.963048685, 42.984677688)"
3619_0077,Auer Avenue Elementary,-87.94137630299997,43.07691142300007,"c(-87.941376303, 43.0769114230001)"
3619_0188,Barbee Elementary,-87.94338732499995,43.098256683000045,"c(-87.9433873249999, 43.098256683)"
3619_0081,Barton Elementary,-87.98315365399998,43.141259956000056,"c(-87.983153654, 43.1412599560001)"
3619_0012,Bay View High,-87.89805334799996,42.99468285900008,"c(-87.898053348, 42.9946828590001)"
3619_0112,Bay View Montessori School,-87.90648468799998,42.97374832600008,"c(-87.906484688, 42.9737483260001)"
3619_0356,Bethune Academy,-87.95763125499997,43.05063460700006,"c(-87.957631255, 43.0506346070001)"
3619_0014,Bradley Technology High,-87.91542990499994,43.02412058400006,"c(-87.9154299049999, 43.0241205840001)"
3619_0089,Brown Street Academy,-87.93765898699996,43.056838484000025,"c(-87.937658987, 43.056838484)"
3619_0092,Browning Elementary,-87.99104551499994,43.117784595000046,"c(-87.9910455149999, 43.117784595)"
3619_0093,Bruce Elementary,-88.02295356299999,43.13552236000004,"c(-88.022953563, 43.13552236)"
3619_0094,Bryant Elementary,-88.02125744199998,43.120525377000035,"c(-88.021257442, 43.120525377)"
3619_0095,Burbank Elementary,-87.98796039399997,43.02778201000007,"c(-87.987960394, 43.0277820100001)"
3619_0098,Burdick Elementary,-87.90471691199997,42.96539703600007,"c(-87.904716912, 42.9653970360001)"
3619_0108,Carson Academy,-87.97500687999997,43.089948064000055,"c(-87.97500688, 43.0899480640001)"
3619_0178,Carver Academy,-87.91123393499998,43.05525318700006,"c(-87.911233935, 43.0552531870001)"
3619_0104,Cass Street Elementary,-87.90214999199998,43.05233274300008,"c(-87.902149992, 43.0523327430001)"
3619_0110,Clarke Street Elementary,-87.94894126399998,43.06603996700005,"c(-87.948941264, 43.0660399670001)"
3619_0114,Clemens Elementary,-87.95845093699995,43.093481980000035,"c(-87.958450937, 43.09348198)"
3619_0113,Clement Avenue Elementary,-87.89445000199999,42.97750596900005,"c(-87.894450002, 42.977505969)"
3619_0116,Congress Elementary,-87.97849713799997,43.09946151500003,"c(-87.978497138, 43.099461515)"
3619_0117,Cooper Elementary,-87.94034864999998,42.95126774200003,"c(-87.94034865, 42.951267742)"
3619_0501,Craig Montessori School,-88.00795632099994,43.097189832000026,"c(-88.0079563209999, 43.097189832)"
